duration,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sinpkt,dinpkt,sjit,djit,swin,dwin,tcprtt,synack,ackdat,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,src_entropy,dst_entropy,failed_logins,dns_queries,unique_uri,user_agent_entropy,hour,day_of_week,proto,service,state,label
1.0740063812104255,11,4,1629.4935138927547,734.2339758554126,68.82575876586392,31,63,197.20347165455718,1081.588195728714,10.124304898332118,3.43137741711358,2.7543344318828207,2.030060443901629,8192,64240,0.049249534493217735,0.021978000779602134,0.0022597356220991037,6,7,7,5,3,3.2469761324502207,1.9044465799801593,0,3,0,2.1627520801951476,19,3,icmp,https,CON,benign
42.31047638147041,6,6,355.48807937913836,867.8709906165236,19.501237841592026,128,31,764.1863802227313,3122.3759782458706,56.42470868725249,63.093255521038,0.19523801789238085,0.708717338985449,8192,8192,0.05278051035404771,0.026061377984188304,0.027387827453505625,3,1,5,6,3,6.934848893745471,5.736712366158395,0,18,4,1.6665210095356513,9,2,udp,dns,FIN,botnet_c2
0.4039687041403932,15,17,526.0982663642714,901.496229266036,20.39662322761697,127,128,930.469202304489,310.0538951644063,25.395870000559803,15.620158882917611,4.5269355353324245,2.9262859184969408,0,64240,0.08032595202547396,0.006051934399053462,0.022190822348622387,3,1,7,6,6,1.127663391101298,3.7817716541494697,0,1,2,3.269290946987679,19,3,udp,https,FIN,benign
0.2334108230221404,15,12,5096.57481851713,73.34045275513972,109.57622354617007,127,31,6738.789856217581,465.02901113838084,4.028013490980623,13.524445306935545,5.232566486736038,15.770791527818625,8192,255,0.06361521526003912,0.009873366372722259,0.02340302749468707,33,4,6,4,4,3.239891561418773,3.2757443020675394,0,5,38,6.271337086609378,5,5,tcp,http,CON,web_attack
25.691915044332227,13,10,165208.74209251394,1611.7899489182664,21.0106756943588,64,31,30513.871198711564,362.43429686996427,1.903311575709592,6.720844978425209,2.8850405340732594,2.6985361913146897,64240,64240,0.06199822065293566,0.01943241406552852,0.015440370195022342,5,3,11,4,6,3.1747899198379126,7.6234407607871795,0,30,2,3.3413910089041563,0,2,tcp,ftp,CON,exfiltration
0.14376899458483428,8,3,225.4007419345067,61.7188844422389,165.6006463848866,31,127,5324.588330999049,2710.062013549824,4.451298360744433,6.978344269178738,2.0725134536263674,4.52321812637287,64240,8192,0.02215467841513197,0.02079131073492475,0.02309522711924368,11,2,45,56,45,1.2353775230759454,1.372454567091473,0,2,3,2.968640225049678,11,3,tcp,https,REQ,reconnaissance
0.11904143126770117,15,16,429.8953845142575,981.8452007579971,17.968723703208973,127,127,1176.1561834471465,3168.699353241344,7.508317106388306,6.831484416264832,10.129545952605476,1.4108899171570377,8192,255,0.03623491320787854,0.023542255144229193,0.02179322253696188,10,5,7,4,5,2.287044179573775,1.1975454948895417,1,1,4,3.2392720648756015,11,2,tcp,unknown,FIN,benign
11.207895874372536,18,9,229617.4769481059,2244.57080237679,33.2789833601275,31,127,22767.958044532912,459.88464211145833,8.032289882951982,15.045720266326557,2.1636004315281965,2.7712560785765916,8192,255,0.054912985498538756,0.017633562500114927,0.008868962087831719,6,4,11,8,5,1.7156117012505798,6.414103174295494,0,19,4,1.974033720305465,23,0,tcp,ftp,FIN,exfiltration
38.02975526553834,14,17,172007.61314027998,2103.710646388139,36.89813523153581,63,64,30905.013699013936,92.29436610435484,2.325954570023106,0.9075615127864012,7.44418241652817,4.294410715488613,255,8192,0.04434001875100973,0.005272040354371265,0.020395306645005478,6,3,7,4,3,3.365412032595798,6.9678765757338486,0,28,3,3.799277076132124,3,1,tcp,https,FIN,exfiltration
0.5590878214002165,15,7,608.5601505101337,605.7370918680261,29.321690687707985,128,64,633.4457060160896,3398.174957036808,5.448125171589251,13.00274697498496,2.6307972647130353,16.737737439126803,64240,255,0.012062330952108034,8.836488318106003e-05,0.031044908987203933,4,2,11,5,5,1.169631196441608,2.0717615134229854,0,1,1,2.542395049310905,22,4,tcp,https,REQ,benign
2.0124669388961616,28,23,234.45660617892085,1176.1814690696733,23.77001243075891,64,64,922.2517605854107,292.2564162035924,12.854914399782874,2.818365225695982,3.228941939596775,1.9050588942665407,64240,0,0.055719007085922555,0.03408486425651014,0.01897661446799266,34,14,4,4,6,1.094910765893018,1.506241890696804,19,5,3,3.567873685969514,2,4,tcp,ssh,RST,brute_force
26.92720457242508,3,4,1656.546278962325,490.084263892173,17.613320815792534,64,255,2004.9442345802615,1052.3859575735667,56.99643613279502,56.56400872129645,0.14784892467957453,0.451440862827828,0,255,0.08342959372382633,0.014840232038750584,0.029737309454104688,6,4,7,5,1,4.578669762064612,5.625138349511124,0,16,1,2.3870697926848607,12,3,tcp,unknown,CON,botnet_c2
0.12603075671090405,12,9,2255.521600279343,389.29141597193654,119.15809424669376,63,255,1422.129800669609,2288.870777392167,4.577199280515688,6.814102827172745,3.4797089384029967,3.0888741464010323,255,255,0.03145186274527763,0.0202202765440965,0.02158063528639347,42,2,5,6,7,3.419296336105364,1.9798256074489267,0,0,39,7.124162232706796,17,4,tcp,http,CON,web_attack
11.065181495626714,15,14,152175.7172295605,1009.6070832156266,69.92622511213744,128,255,49067.76478609345,698.3311599856764,6.492170374637722,3.2560035715829234,3.226449333862326,0.9778522858947464,64240,64240,0.06772928301614473,0.02348901644138028,0.025327871714891693,5,5,10,7,4,1.3932503704239951,5.843395694308044,0,25,1,1.6787762817418856,3,5,tcp,dns,FIN,exfiltration
6.91041708066519,11,12,99783.22218993506,1548.5505102456034,15.034083407892153,63,31,25620.65212933311,1217.7039223246904,12.295047602578958,5.088671063313329,4.1805204691029125,5.077325299606423,64240,64240,0.03234637376780196,0.013673135813161687,0.04484298408968636,6,1,11,4,7,1.3103206271929222,6.959760823902045,0,20,4,3.4490392101188045,22,6,tcp,ftp,INT,exfiltration
50.13931540216811,3,4,599.9340340250873,76.47490051596124,22.98039487391913,255,64,2937.2789599482035,1027.6038209087053,63.77676096004029,64.26323064468176,0.5925636841209208,0.526089287730644,255,255,0.05250828989698629,0.004129410248180032,0.014677031341061682,9,1,4,7,3,6.856649875905749,5.392996173215751,0,10,3,2.000986236980041,23,6,tcp,dns,FIN,botnet_c2
14.42417491919615,8,9,205607.82968820605,807.8676779008097,26.67387542193444,128,63,28640.69011418551,485.9113489310338,0.25635288136601053,16.737690093612127,7.065985630483295,4.079428315011557,64240,255,0.07636105265100696,0.017599845716153154,0.003076127623877923,5,4,4,3,8,3.912690587909691,6.988624209820157,0,26,2,2.8668315887584526,21,0,tcp,ftp,CON,exfiltration
16.50514386563533,10,8,851.4760351545684,380.8429245761869,10.212887849401767,63,64,2608.0484541967944,1710.002667767778,60.01544870538538,67.72794951805704,0.5191132516154737,0.5051259857386058,64240,64240,0.04124117603387149,0.003349989488943085,0.0250864034870264,9,2,8,4,5,6.704821019155396,4.4684376935843675,0,13,5,2.534143849554607,19,2,tcp,unknown,FIN,botnet_c2
0.7907299583303653,16,9,2501.0642448230005,65.94547195928305,221.50723590987639,63,127,3292.387577260887,1399.3098397742783,4.413509165151242,20.815410291384122,3.122766765845815,6.439949569769604,64240,0,0.0450155279572399,0.014140155314555695,0.030185503919060597,32,2,5,2,3,3.2200728335057445,3.3298549849177377,0,2,38,5.632953038136412,3,0,tcp,https,FIN,web_attack
2.0957809834330203,22,17,900.3870874506199,1369.4358837592642,23.042695146029846,128,127,1855.3528170679176,2075.914331610082,2.67242769169712,25.91857966114284,6.6684077948261855,1.6079924681630786,64240,255,0.05029327700950098,0.0010542637395586467,0.015138612121364532,43,15,8,10,8,3.3859824867763297,2.2363786494534397,28,7,6,1.9895691140211458,2,0,tcp,ssh,FIN,brute_force
1.4801167540270552,11,13,490.4820445311995,262.09050878540035,9.000313340127386,128,63,186.20861750433218,774.7772723674927,9.53498733759054,6.088005924998754,4.120630986747512,9.114891155400382,8192,8192,0.05603141291577372,0.009084178856999312,0.009552904415427,6,4,7,7,2,2.8296182330959,2.8076690699831017,0,2,4,3.357718228018981,17,6,tcp,unknown,FIN,benign
31.763969961978525,16,7,290265.7105456656,467.14734260715267,39.26613392768843,255,31,26733.661342519175,1104.4703046754898,7.905080865737876,8.099283377228968,3.18664109301922,4.324834500331892,64240,0,0.054951180888010875,0.05319067047955327,0.027472760689948795,5,5,5,4,3,2.244558346034351,6.833532660056817,0,23,2,2.0770094541111366,2,1,tcp,dns,CON,exfiltration
25.11332353333834,11,7,308307.800972001,2033.320758014783,43.760931939769314,128,63,30403.485619267838,136.35928377748868,12.719868435572275,3.0118390112804447,7.558828273449911,6.031973126176768,64240,8192,0.07649828579783302,0.006369100785005251,0.029040734065372234,5,4,5,5,3,1.6580406508026098,6.68186056132366,0,22,3,1.507808212266942,1,4,tcp,https,FIN,exfiltration
6.498161806313107,11,11,253587.51956949363,292.01203947789537,29.186967359985413,128,255,31737.6755238767,429.1101476010434,9.70150401549635,9.566301158912045,6.533212108874324,8.772025481725679,64240,64240,0.0330385927862588,0.025874810197910717,0.010607844800198883,9,1,11,3,4,1.2335519312869505,5.628016400078787,0,26,2,3.70869497849784,21,0,udp,https,FIN,exfiltration
